Isolate	Country	Isolate_short_name
hCoV-19/Guangdong/GDFS2020054-P0005/2020|EPI_ISL_413850	China	Guangdong / GDFS2020054-P0005 / 2020
hCoV-19/Spain/Valencia/2/2020|EPI_ISL_414496	Spain	Spain / Valencia / 2 / 2020
hCoV-19/Netherlands/Limburg_6/2020|EPI_ISL_414427	Netherlands	Netherlands / Limburg_6 / 2020
hCoV-19/USA/CA-CDPH-UC8/2020|EPI_ISL_413926	USA	USA / CA-CDPH-UC8 / 2020
hCoV-19/USA/CA-CDPH-UC5/2020|EPI_ISL_413922	USA	USA / CA-CDPH-UC5 / 2020
hCoV-19/France/RA739/2020|EPI_ISL_410486	France	France / RA739 / 2020
hCoV-19/Netherlands/NoordBrabant_19/2020|EPI_ISL_414459	Netherlands	Netherlands / NoordBrabant_19 / 2020
hCoV-19/Netherlands/ZuidHolland_6/2020|EPI_ISL_414466	Netherlands	Netherlands / ZuidHolland_6 / 2020
hCoV-19/Netherlands/NoordBrabant_13/2020|EPI_ISL_414453	Netherlands	Netherlands / NoordBrabant_13 / 2020
hCoV-19/Netherlands/ZuidHolland_5/2020|EPI_ISL_414465	Netherlands	Netherlands / ZuidHolland_5 / 2020
hCoV-19/Netherlands/NoordBrabant_4/2020|EPI_ISL_414450	Netherlands	Netherlands / NoordBrabant_4 / 2020
hCoV-19/Netherlands/NoordBrabant_15/2020|EPI_ISL_414455	Netherlands	Netherlands / NoordBrabant_15 / 2020
hCoV-19/Netherlands/NoordBrabant_10/2020|EPI_ISL_414431	Netherlands	Netherlands / NoordBrabant_10 / 2020
hCoV-19/Guangdong/GDFS2020052-P0025/2020|EPI_ISL_413875	China	Guangdong / GDFS2020052-P0025 / 2020
hCoV-19/Spain/Valencia1/2020|EPI_ISL_414495	Spain	Spain / Valencia1 / 2020
hCoV-19/USA/WA13-UW9/2020|EPI_ISL_413601	USA	USA / WA13-UW9 / 2020
hCoV-19/USA/CA-CDPH-UC4/2020|EPI_ISL_413561	USA	USA / CA-CDPH-UC4 / 2020
hCoV-19/USA/NY1-PV08001/2020|EPI_ISL_414476	USA	USA / NY1-PV08001 / 2020
hCoV-19/USA/CA-CDPH-UC1/2020|EPI_ISL_413557	USA	USA / CA-CDPH-UC1 / 2020
hCoV-19/USA/CA-CDPH-UC3/2020|EPI_ISL_413559	USA	USA / CA-CDPH-UC3 / 2020
hCoV-19/USA/UC-CDPH-UC11/2020|EPI_ISL_413931	USA	USA / UC-CDPH-UC11 / 2020
hCoV-19/USA/CA-CDPH-UC2/2020|EPI_ISL_413558	USA	USA / CA-CDPH-UC2 / 2020
hCoV-19/South Korea/KUMC02/2020|EPI_ISL_413018	South Korea	South Korea / KUMC02 / 2020
hCoV-19/USA/CA2/2020|EPI_ISL_406036	USA	USA / CA2 / 2020
hCoV-19/France/IDF0372/2020|EPI_ISL_406596	France	France / IDF0372 / 2020
hCoV-19/France/IDF0373/2020|EPI_ISL_406597	France	France / IDF0373 / 2020
hCoV-19/France/IDF0372-isl/2020|EPI_ISL_410720	France	France / IDF0372-isl / 2020
hCoV-19/France/IDF0386-islP1/2020|EPI_ISL_411219	France	France / IDF0386-islP1 / 2020
hCoV-19/France/IDF0386-islP3/2020|EPI_ISL_411220	France	France / IDF0386-islP3 / 2020
hCoV-19/Germany/Baden-Wuerttemberg-1/2020|EPI_ISL_412912	Germany	Germany / Baden-Wuerttemberg-1 / 2020
hCoV-19/Italy/UniSR1/2020|EPI_ISL_413489	Italy	Italy / UniSR1 / 2020
hCoV-19/Germany/BavPat1/2020|EPI_ISL_406862	Germany	Germany / BavPat1 / 2020
hCoV-19/Italy/CDG1/2020|EPI_ISL_412973	Italy	Italy / CDG1 / 2020
hCoV-19/USA/CA-CDPH-UC6/2020|EPI_ISL_413924	USA	USA / CA-CDPH-UC6 / 2020
hCoV-19/USA/WA-UW16/2020|EPI_ISL_414364	USA	USA / WA-UW16 / 2020
hCoV-19/USA/WA14-UW10/2020|EPI_ISL_413649	USA	USA / WA14-UW10 / 2020
hCoV-19/USA/CA-CDPH-UC7/2020|EPI_ISL_413925	USA	USA / CA-CDPH-UC7 / 2020
hCoV-19/USA/WA11-UW7/2020|EPI_ISL_413562	USA	USA / WA11-UW7 / 2020
hCoV-19/USA/WA17-UW13/2020|EPI_ISL_413652	USA	USA / WA17-UW13 / 2020
hCoV-19/USA/WA9-UW6/2020|EPI_ISL_413487	USA	USA / WA9-UW6 / 2020
hCoV-19/USA/WA-UW19/2020|EPI_ISL_414367	USA	USA / WA-UW19 / 2020
hCoV-19/USA/WA-UW17/2020|EPI_ISL_414365	USA	USA / WA-UW17 / 2020
hCoV-19/USA/CruiseA-24/2020|EPI_ISL_414483	USA	USA / CruiseA-24 / 2020
hCoV-19/USA/CruiseA-23/2020|EPI_ISL_414482	USA	USA / CruiseA-23 / 2020
hCoV-19/USA/CruiseA-21/2020|EPI_ISL_414480	USA	USA / CruiseA-21 / 2020
hCoV-19/USA/MA1/2020|EPI_ISL_409067	USA	USA / MA1 / 2020
hCoV-19/Japan/KY-V-029/2020|EPI_ISL_408669	Japan	Japan / KY-V-029 / 2020
